Department,Location,Part,Heci,Description,Qty,UOM,Manufacturer,Notes,Alternative Part Number
FIBER DUCT,C-2,FGS-SH4E-A,,4X4 45degree HORIZONTAL SNAP ON COVER,1,EA,,,
FIBER DUCT,C-2,FGS(X)-SH9E-A,,4X4 90degree SNAP ON COVER,1,EA,,,
FIBERDUCT,C-2,FGS-MHRT-A,,4X4 HORIZONTAL TEE,2,EA,,,
FIBER DUCT,C-2,FGS-SHRT-A,,4X4 HORIZONTAL SNAP-ON TEE COVER,1,EA,,,
FIBER DUCT,C-2,FGS-MH9E-A,,4X4 HORIZONTAL 90degree ELBOW,2,EA,,,
FIBER DUCT,C-2,FGS(X)-MVAR-B,,4X6 EXPANDABLE STRAIGHT SECTION,2,EA,,,
,,,,,,,,,
FIBER DUCT,C-3,FGS-MEXP-E-A/B/F,,4X4 DOWNSPOUT EXPRESS EXIT,8,EA,,,
FIBER DUCT,C-3,FGS-HMEC-B,,4X6 END CAP KIT,5,EA,,,
FIBER DUCT,C-3,FGS-MCDS-AB,,4X6 DOWNSPOUT COVER,4,EA,,,
FIBER DUCT,C-3,FGS(X)-MDSP-EX-B,,4X6 EXTENDED DOWNSPOUT TO 4X4 DROP EXIT,1,EA,,,
FIBER DUCT,C-3,FGS(X)-MHXP-B,,4X6 to 4X6 HORIZONTAL CROSS SECTION KIT,2,EA,,,
FIBER DUCT,C-3,FGS(X)-SHRT-B,,4X6 HORIZONTAL TEE SNAP ON COVER,1,EA,,,
FIBER DUCT,C-3,FGS-MFAW-B,,4X6 SNAP ON JUNCTION KIT,23,EA,,,
FIBER DUCT,C-3,FGS-SD9E-B,,4X6 90degree DOWN ELBOW SNAP ON COVER,2,EA,,,
,,,,,,,,,
HARDWARE,H-1,SB58106YZ,,"6"" CABLE TIE KIT",47,EA,,,
HARDWARE,H-1,20630210,,SINGLE LADDER RACK BOLT KIT,7,EA,,,
HARDWARE,H-1,SFH-545K2,,CABLE RACK SUPPORT KIT,8,EA,,,
HARDWARE,H-1,SCL-FC1.875T-2,,SPANNER CLIP AND BOLT MOUNTING KIT,5,EA,,,
HARDWARE,H-1,WC22,,"2"" WALL CLIP SET",8,EA,,,
HARDWARE,H-1,2121300230,,"CABLE BRACKET KIT 4.5"" X 4"" (POWER)",6,EA,,,
HARDWARE,H-1,CR2-887,,"CABLE BRACKET KIT 6"" X 4"" (POWER)",6,EA,,,
HARDWARE,H-1,ACB44DG,,"4"" X 4"" AUXILIARY CABLE BRACKET KIT",2,EA,,,
HARDWARE,H-1,FGS-HLDR-5/8-2,,"5/8"" LADDER RACK BRACKET KIT",17,EA,,,
HARDWARE,H-1,SB1342YZ,,OVERHEAD POWER CABLE HORN,2,EA,,,
HARDWARE,H-1,,,GOAL POST CABLE RACKS,8,EA,,,
HARDWARE,,,,,,EA,,,
HARDWARE,,,,,,EA,,,
HARDWARE,,,,,,EA,,,
HARDWARE,,,,,,EA,,,
,,,,,,,,,
HARDWARE,H-2,FGS-HLR2-C,,FIBER GUIDE LADDER RACK BRACKET KIT,11,EA,,,
HARDWARE,H-2,CR112-928K,,CABLE RACK BAY TOP SUPPORT KIT,8,EA,,,
HARDWARE,H-2,SB2211BYZ,,FRAMING CLIP KIT,17,EA,,,
HARDWARE,H-2,CR1-116-K2CE,,LADDER RACK HARDWARE KIT,2,EA,,,
HARDWARE,H-2,20500010,,ASSEMBLY OF PARALLEL CABLE,1,EA,,,
HARDWARE,H-2,SFH-100,,HANGER ROD TO CHANNEL HARDWARE KIT,1,EA,,,
HARDWARE,H-2,SFH-112E,,ROD TO CEILING DOUBLE LEVEL FRAMING KIT,12,EA,,,
HARDWARE,H-2,SAF2502,,FRAMING CLIP ASSEMBLY KIT,23,EA,,,
HARDWARE,H-2,TMH262SS,,"1/4"" X 3/4"" TONGUE MOUNTING HARDWARE KIT",2,EA,,,
HARDWARE,H-2,TMH263SS,,"1/4"" X 1"" TONGUE MOUNTING HARDWARE KIT",1,EA,,,
HARDWARE,H-2,TMH266SS,,"3/8"" X 3/4"" TONGUE MOUNTING HARDWARE KIT",4,EA,,,
HARDWARE,H-2,TMH267SS,,"3/8"" X 1"" TONGUE MOUNTING HARDWARE KIT",19,EA,,,
HARDWARE,H-2,TMH268SS,,"3/8"" X 1 1/4"" TONGUE MOUNTING HARDWARE KIT",10,EA,,,
HARDWARE,H-2,TMH269SS,,"3/8"" X 1 1/2"" TONGUE MOUNTING HARDWARE KIT",17,EA,,,
HARDWARE,H-2,SB2212AYZ,,FRAMING CLIP KIT,20,EA,,,
